taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,market_value,assessment_level,assessed_value,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_market_value,log_assessed_value,log_outstanding_balance
Company,City of Davao,Davao Del Sur,Davao Del Sur,CITY OF DIGOS,Soong,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,292,3249602.0,0.5,1624801.0,0.0145,23559.61,2023,7,6,1,1,33.1,10167.79,66.26,0,3.0,1.0,14.994043392998378,14.300896520168283,9.22707850457977
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Limao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,632,6948462.09,0.5,3474231.04,0.0138,47944.39,2021,11,8,2,1,44.6,35123.77,40.09,1,3.0,1.0,15.754031054956837,15.060884016874432,10.466661858571904
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Sirawan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1839,2229071.72,0.4,891628.69,0.013,11591.17,2021,4,3,1,0,13.4,1286.32,90.13,0,9.0,3.0,14.617096236331129,13.700806179625387,7.160317816938903
Company,Kiblawan,Davao Del Sur,Davao Del Norte,City of Tagum,Bincungan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,265,3078049.94,0.5,1539024.97,0.0164,25240.01,2023,12,8,2,1,36.2,13495.0,60.17,0,12.0,4.0,14.939807142951619,14.246660287272533,9.510148624225804
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 24-C (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4566,6352728.84,0.4,2541091.54,0.0118,29984.88,2022,16,8,4,1,85.9,22502.74,6.83,1,6.0,2.0,15.664395174553029,14.748104680371938,10.021436796601352
Company,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,Lumiad,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,119,851880.76,0.2,170376.15,0.0133,2266.0,2022,10,8,4,2,99.4,2750.21,5.0,1,12.0,4.0,13.655203016837985,12.045769788141516,7.919796093889002
Individual,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 2-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,306,3017906.25,0.2,603581.25,0.0107,6458.32,2023,5,5,2,1,53.1,4580.82,45.07,1,12.0,4.0,14.920074185564657,13.310637598551459,8.429851578086408
Company,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Mahayahay,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,316,3675234.77,0.45,1653855.65,0.0159,26296.3,2024,17,8,3,1,56.4,18204.69,48.46,0,3.0,1.0,15.117127843673265,14.318620482127843,9.809489461566647
Individual,Laak,Davao De Oro,Davao Del Norte,Carmen,Taba,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,227,1165457.51,0.2,233091.5,0.0132,3076.81,2022,4,4,3,1,81.9,2571.17,20.5,1,9.0,3.0,13.96862513836871,12.359190649474046,7.852505179596255
Company,Santa Maria,Davao Occidental,Davao De Oro,Laak,Kaligutan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,1116,4850375.64,0.4,1940150.26,0.0155,30072.33,2022,6,7,4,2,95.1,36432.62,5.0,1,3.0,1.0,15.394566917630419,14.478276497072246,10.503247253718081
Individual,Maco,Davao De Oro,Davao Del Sur,City of Digos,Aplaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,180,1632991.12,0.2,326598.22,0.0112,3657.9,2023,16,8,3,1,44.9,3035.15,31.92,1,12.0,4.0,14.305924546466374,12.69648907127315,8.018345544409653
Individual,Sulop,Davao Del Sur,Davao De Oro,Laak,Mabuhay,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,454,834120.73,0.2,166824.15,0.0123,2051.94,2024,16,8,1,0,17.9,538.17,95.66,0,9.0,3.0,13.634134629922485,12.024701536917215,6.290030920068052
Individual,Compostela,Davao De Oro,Davao Occidental,Santa Maria,  Santo Rosario ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2460,1184310.87,0.4,473724.35,0.0129,6111.04,2022,8,8,3,1,81.9,4559.9,23.36,1,9.0,3.0,13.984672463457636,13.06838300236281,8.4252752514549
Individual,Caraga,Davao Oriental,Davao Del Sur,City of Davao,Angalan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,194,1147585.06,0.2,229517.01,0.0138,3167.33,2021,9,8,1,0,16.5,479.55,86.2,0,12.0,4.0,13.953171215925993,12.343736780349273,6.174931281269293
Individual,Manay,Davao Oriental,Davao Del Sur,City of Davao,Santo Niño,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,420,12026221.67,0.5,6013110.83,0.0162,97412.4,2024,4,3,2,1,71.1,50095.44,18.39,1,3.0,1.0,16.302600046126187,15.60945294788635,10.821705226663994
Individual,Compostela,Davao De Oro,Davao Del Sur,City of Davao,Manuel Guianga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,300,2666415.63,0.2,533283.13,0.0139,7412.64,2022,11,8,4,2,98.8,8553.16,5.0,1,3.0,1.0,14.796246042829905,13.18680963803603,9.054172993311479
